metric,projector,instance,precision,recall,f1
test_person-title/macro_types,classifier_adapter_bert_ms,0,0.30434781312942505,0.14000000059604645,0.19178082048892975
test_other-art-writing/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist-actor/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-body_of_water/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-park/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-government/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing-animal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-product/macro_types,classifier_adapter_bert_ms,0,0.6381579041481018,0.3803921639919281,0.4766585230827331
test_organization/macro_types,classifier_adapter_bert_ms,0,0.5141509175300598,0.07741477340459824,0.13456790149211884
test_other-scientific/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event/macro_types,classifier_adapter_bert_ms,0,0.1456310749053955,0.2752293646335602,0.190476194024086
test_other-product-software/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-artist/macro_types,classifier_adapter_bert_ms,0,0.22727273404598236,0.06756756454706192,0.1041666567325592
test_other-event-accident/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-mobile_phone/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-coach/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-celestial/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company/macro_types,classifier_adapter_bert_ms,0,0.7291666865348816,0.03411306068301201,0.06517691165208817
test_organization-education/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person/macro_types,classifier_adapter_bert_ms,0,0.8083066940307617,0.4477876126766205,0.5763097405433655
test_other-legal/macro_types,classifier_adapter_bert_ms,0,0.5232558250427246,0.1672862470149994,0.2535211145877838
test_person-artist-author/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-art/macro_types,classifier_adapter_bert_ms,0,0.21229049563407895,0.28787878155708313,0.24437297880649567
test_other-event-violent_conflict/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-food/macro_types,classifier_adapter_bert_ms,0,0.1304347813129425,0.0731707289814949,0.0937500074505806
test/macro_types,classifier_adapter_bert_ms,0,0.16327998042106628,0.12873005867004397,0.1439610868692398
test_other-currency/macro_types,classifier_adapter_bert_ms,0,0.2607142925262451,0.42941176891326904,0.324444442987442
test_organization-transit/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-product-weapon/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-sports_and_leisure/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-structure-theater/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
